id,question,answer,condition,medical_specialty,question_type
11,No laudo da minha ressonancia deu Afilamento condral irregular nas areas de cargas significa que estou com condromalacia em qual grau ?,No seu caso o melhor a se fazer é marcar uma consulta para após o exame físico e exames de imagem podermos chegar a um diagnóstico e tratamento correto,Condromalácia,"Médico do esporte, Ortopedista - traumatologista",Diagnóstico
12,No laudo da minha ressonancia deu Afilamento condral irregular nas areas de cargas significa que estou com condromalacia em qual grau ?,Mais importante do que o grau é saber os seus sintomas queixas e te examinar para oferecer o tratamento otimizado correto. Agende sua consulta.,Condromalácia,Ortopedista - traumatologista,Diagnóstico
13,Afilamento condral irregular significa qual o grau de condromalacia?,"O grau da condromalácia é especificado por um número: I, II, III e IV.",Condromalácia,"Médico do esporte, Ortopedista - traumatologista",Diagnóstico
14,Afilamento condral irregular significa qual o grau de condromalacia?,Muito comum a preocupação com o grau da condromalácia . Por vezes correlacionam o grau com a incapacidade. Esta classificação a que se refere é obtida pela avaliação da imagem obtida na ressonância nuclear magnética sem estar relacionada diretamente com seu exame clínico. Portanto aguarde a avaliação do seu médico pois a correlação de um exame complementar com achados clínicos nem sempre são comuns. A uma máxima em Medicina e que todos nós desde cedo ouvimos é que: A clínica é soberana .Exames complementares não substituem o exame clínico . Siga orientação do seu médico.,Condromalácia,"Ortopedista - traumatologista, Especialista em dor, Especialista em ultrassonografia",Diagnóstico
15,Afilamento condral irregular significa qual o grau de condromalacia?,"Mais importante do que saber o grau, se I, II, II ou IV, é saber as suas queixas e examinar. O exame físico e as suas queixas que vão ditar qual tratamento a ser realizado. Agende sua consulta.",Condromalácia,Ortopedista - traumatologista,Diagnóstico
16,"Meu raio-x do joelho deu osteoartrite do lado interno e espaço retro-rotuliano diminuído. Na ressonância deu apenas condromalácia grau 4, não osteoartrite. Por que será que os 2 deram resultados diferentes?","Condromalácia grau 4 significa que a cartilagem estes toda gasta, com exposição do osso. Os resultados não são diferentes.",Condromalácia,"Médico do esporte, Ortopedista - traumatologista",Diagnóstico
17,"Meu raio-x do joelho deu osteoartrite do lado interno e espaço retro-rotuliano diminuído. Na ressonância deu apenas condromalácia grau 4, não osteoartrite. Por que será que os 2 deram resultados diferentes?","Bom dia. Não necessariamente. As palavras utilizadas nos laudos, embora diferentes, podem traduzir o mesmo quadro clínico. O ideal é levar ambos os exames para o especialista. Através do exame clínico e da análise das imagens ele poderá chegar a uma conclusão sobre o quadro e o prognóstico.",Condromalácia,"Médico acupunturista, Ortopedista - traumatologista",Diagnóstico
18,"Meu raio-x do joelho deu osteoartrite do lado interno e espaço retro-rotuliano diminuído. Na ressonância deu apenas condromalácia grau 4, não osteoartrite. Por que será que os 2 deram resultados diferentes?",Os laudos se complementam e dizem a mesma coisa. Precisa de consulta com especialista o quanto antes para tratamento.,Condromalácia,Ortopedista - traumatologista,Diagnóstico
19,"Meu raio-x do joelho deu osteoartrite do lado interno e espaço retro-rotuliano diminuído. Na ressonância deu apenas condromalácia grau 4, não osteoartrite. Por que será que os 2 deram resultados diferentes?","Olá, como os colegas responderam, os resultados se complementam. Além disso o rx pode ter sido feito em posição de ortostatismo (com você em pé), o que ajuda a definir melhor os espaços articulares.Te convidamos para uma consulta: Consulta ortopedia e traumatologia - R 650Você pode reservar uma consulta através do site Doctoralia, clicando no botão agendar consulta.",Condromalácia,Ortopedista - traumatologista,Diagnóstico
20,"Sou atleta profissional de futebol, tenho condromalacia, mesmo com os exercícios de fortalecimento e fisioterapia sinto dor no treino intenso, faço uso de colágeno tipo II e magnésio, adicionando o condroflex para diminuir as dores gera algum problema?","O uso desses medicamentos não gera problemas. Sugiro realizar acompanhamento médico para avaliar grau de condromalácia com ressonância e possível fisioterapia para reforço de cadeia flexo extensora, alongamento de cadeia posterior e melhorar estabilidade.Instagram: dr.daniloflavio",Condromalácia,Médico do esporte,Tratamento
21,"Sou atleta profissional de futebol, tenho condromalacia, mesmo com os exercícios de fortalecimento e fisioterapia sinto dor no treino intenso, faço uso de colágeno tipo II e magnésio, adicionando o condroflex para diminuir as dores gera algum problema?","Pode acrescentar sim, mas sob orientação e acompanhamento. O ideal seria fazer um bom acompanhamento do problema e tratamento mais adequado.Te convidamos para uma consulta: Consulta ortopedia e traumatologia - R 600Você pode reservar uma consulta através do site Doctoralia, clicando no botão agendar consulta.",Condromalácia,"Médico do esporte, Ortopedista - traumatologista",Tratamento
22,Boa noite. Tenho 50 anos e sou atleta. Fiz recentemente uma ressonância do joelhos e apresentou uma artrose da patela Condromalacia Tenho dor para realizar exercícios de fortalecimentocarga e depois de jogar vôlei de areia e treinar. Não apresento limitação de movimentos e nem edema. O ortopedista indicou aplicação de ácido hialurônico. Tenho dúvida em fazer ou não. Quais os benefícios? Qual o ácido seria mais indicado?,"Olá, esse é o procedimento padrão ouro que temos hoje. Temos ótimos resultados com ácido hialurônico articular ( dentro da articulação do joelho, como em outras articulações e locais também) . Existem vários tipos hoje no mercado, suas diferenças são avaliadas pelo médico que irá realizar o procedimento, como peso molecular. Converse com seu médico para que se sinta seguro com o procedimento, isso ajuda nos resultados . Melhoras",Condromalácia,Ortopedista - traumatologista,Tratamento
23,Boa noite. Tenho 50 anos e sou atleta. Fiz recentemente uma ressonância do joelhos e apresentou uma artrose da patela Condromalacia Tenho dor para realizar exercícios de fortalecimentocarga e depois de jogar vôlei de areia e treinar. Não apresento limitação de movimentos e nem edema. O ortopedista indicou aplicação de ácido hialurônico. Tenho dúvida em fazer ou não. Quais os benefícios? Qual o ácido seria mais indicado?,"Considero a infiltração com ácido hialurônico uma ótima opção, sendo minha preferência o ácido hialurônico de alto peso molecular, pois necessita de apenas uma aplicação por ciclo de tratamento, e possui maior durabilidade na articulação. Deve se lembrar sempre que o tratamento da artrose é mutimodal, ou seja, além da infiltração deve ser feito fortalecimento específico, controle da carga de treinamento e da sobrecarga no joelho. Hoje existem técnicas de fortalecimento eficazes com menor sobrecarga (blood flow restriction, por exemplo).",Condromalácia,"Ortopedista - traumatologista, Médico do esporte",Tratamento
24,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.",Foque no quadriceps... excêntrico para essa disfunção e excelente...,Condromalácia,"Fisioterapeuta, Osteopata, Quiropraxista",Tratamento
25,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.",Reforço é sempre importante para o joelho. Porém é necessário avaliar o porque de haver dor bilateral. Ver se a biomecânica da pelve e membros inferiores está de acordo. Uma avaliação com Osteopata seria show neste caso.,Condromalácia,Fisioterapeuta,Tratamento
26,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.",Você precisa ter uma boa mobilidade das articulações mais próximas (tornozelo e quadril) e um bom equilíbrio muscular (força e alongamento) dos membros inferiores e tronco.,Condromalácia,"Fisioterapeuta, Osteopata",Tratamento
27,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","Condromalacia como sabemos, caracteriza-se pela degeneração da cartilagem articular, e por que isso ocorre? Vários são os fatores e eu te digo que você deve estar apresentando pelo menos 3 e precisam ser corregidos. Pode ser por pequenos traumas na região, ou mesmo um trauma em outra parte de seu corpo, que levou a uma descompensação em seus joelhos. Encurtamentos de cadeias musculares, por exemplo, e se você deseja tratar a causa nunca será por aplicação de medicamentos, que no caso poderiam até aliviar a dor por um período curto ou médio de tempo, mas que em seu caso já de entrada não adiantou. O recomendável mesmo, é uma análise completa da biodinâmica de seu corpo.",Condromalácia,Fisioterapeuta,Tratamento
28,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","Esse desgaste articular (condromalácia) é induzido por um desajuste mecânico. Mas comumente advindo do pé, quadril ou lombar.Sugiro se consultar com um osteopata para realizar a correção mecânica. Após isso exercícios específicos irão ajudar a compor um sistema melhor de proteção a essa articulação.E os desconfortos e falta de mobilidade devem melhorar parcial ou totalmente.",Condromalácia,"Osteopata, Fisioterapeuta",Tratamento
29,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","Você conhece o Bioalinhamento?Buscamos a raiz primária dos seus sintomas através da sua história!Conheça mais no meu Instagram : andreiamazloum, será um prazer tirar as suas dúvidas!",Condromalácia,"Fisioterapeuta, Osteopata",Tratamento
30,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","Tenho atendimentos voltados mais para ombro, coluna cervical, torácica e lombar. E com toda minha experiência posso te dizer que o pilates é um bom acompanhamento para fortalecer o corpo. Sobre a condromalacia, assim como outras doreslesões no joelho, de maneira geral, é importante fortalecer a musculatura local e acessoria. De maneira mais minuciosa, é necessário uma avaliação mais fidedigna, ao ponto de desvendar causas sencundárias que podem estar contribuindo para essa dor, como o angulo Q, o valgo dinamico, influência do tornozelo ou pisada...",Condromalácia,Fisioterapeuta,Tratamento
31,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.",Primeiro deve buscar a causa...já pensou em ser uma disfunção visceral?!? Dor constante é indício de um problema visceral...,Condromalácia,Fisioterapeuta,Tratamento
32,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","Em todo o quadro de dor ou lesão, o importante é que a causa seja encontrada. Alterações biomecânicas em outras articulações (como quadril ou pé, por exemplo), podem ter estreita relação com o seu quadro.",Condromalácia,Fisioterapeuta,Tratamento
33,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","O fortalecimento muscular, como vem fazendo com o pilates, é fundamental, porém é necessário verificar outros fatores que podem contribuir para suas dores, como disfunções na coluna, quadril, tornozelo...que também podem influenciar nos seus sintomas.A fisioterapia através da Posturologia, Técnicas Manuais e exercícios corretivos... seriam benéficas para o seu caso.",Condromalácia,"Fisioterapeuta, Osteopata",Tratamento
34,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.",Olá! Já fez Acupuntura Distal? Os resultados são fantásticos. Imediatos. Uma vez controlando o quadro de dor você deverá fazer um reforço na musculatura.,Condromalácia,Fisioterapeuta,Tratamento
35,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","A articulação do joelho é adaptável as informações de articulações próximas, quadril e pé. E podem refletir um alinhamento incorreto promovendo desgastes prematuros e levar a um quadro patológico por uma má organização biomecânica. Fortalecimento e demais técnicas são bem vindas após essas correções.",Condromalácia,"Fisioterapeuta, Osteopata",Tratamento
36,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.","Inicialmente, entender que o desgaste do joelho é uma CONSEQUÊNCIA e que objetivar o encontro da CAUSA se faz fundamental. Organizando seu corpo, o mesmo apresenta condições fisiológicas de cicatrização (exceto às cartilagens que após degradadas, não retornam ao normal) e melhoria dos sintomas. Recomendo que procure om Fisioterapeuta Osteopata registrado na AOB ( Associação dos Osteopatas do Brasil) e autorizado pelos Órgãos oficiais, CREFITO e COFFITO para uso da denominação profissional.",Condromalácia,Osteopata,Tratamento
37,"Quando infiltração de ácido hialurônico, não tira as dores do joelho, o que poderia ser uma boa alternativa para tratar essas dores? Lembrando que tenho condromalácia grau III no joelho esquerdo e grau IV no joelho direito. E para tentar fortalecer a musculatura faço Pilates 3 por semana.",O segredo é um bom planejamento de exercícios direcionados ao problema. Talvez o pilates sozinho não esteja sendo suficiente. Converse com o profissional do pilates e veja se ele recomenda que faça também um trabalho à parte utilizando outra forma de exercício resistido.,Condromalácia,"Osteopata, Fisioterapeuta",Tratamento
38,Qual medicação é indicada para amenizar crises de condromalacia patelar?,"Depende do grau de dor:podem ser antinflamatorios,condroprotetores,viscossuplementação.",Condromalácia,Ortopedista - traumatologista,Tratamento
39,Qual medicação é indicada para amenizar crises de condromalacia patelar?,"Vários medicamentos são utilizados como analgésicos e condroprotetores, colágenos. E procedimentos como a viscossuplementação ajudam muito. Depende de cada caso.",Condromalácia,"Médico do esporte, Ortopedista - traumatologista",Tratamento
40,Qual medicação é indicada para amenizar crises de condromalacia patelar?,"Olá , na condromalácea patelar além do que já foi falado é muito importante a realização de crioterapia ( gelo todos os dias) o que ajuda bem na dor . Sempre importante a orientação de seu ortopedista especialista em joelho .",Condromalácia,Ortopedista - traumatologista,Tratamento
41,"Tenho condropatia patelar grau moderadoavançado. Realizei fortalecimentos no passsado, porém, após a última atividade de corrida o joelho inchou um pouco e o principal: Estou sentindo algo se mover (raspar) dentro do joelho emqualquer pequena flexão que eu realize (até mesmo em uma simples caminhada). Ao caminhar parece que sinto a patela raspando em algo lá dentro. A dor é pouca mas a sensação incomoda muito e tenhomedo de estar destruindo ainda mais a cartilagem.Pode ser a patela que está solta lá dentro? Fratura de patela? Pode ser o ligamento da patela que ficou mais frouxo?Quando a cirurgia é indicada?","Deve procurar especialista para exames.Se tiver alteração na superfície cartilaginosa que seja cavidade,talvez cirurgia melhore a dor.",Condropatia patelar,Ortopedista - traumatologista,Diagnóstico
42,Qual melhor tratamento para condropatia patelar grau II ?,"O tratamento inicial para qualquer grau de condropatia é o gelo e fisioterapia ( fortalecimento e reequilibrio uscular). Caso a dor seja forte, pode-se associar antinflamatorios e analgesicos.Caso so isso nao esteja melhorando, pode-se associar a infiltracao articular com acido hialuronico.Gosto de usar tambem medicacoes condroprotetoras.O tratamento cirurgico é excecao",Condropatia patelar,"Médico do esporte, Ortopedista - traumatologista",Tratamento
43,Qual melhor tratamento para condropatia patelar grau II ?,Cada caso tem suas particularidades. Consulte um ortopedista especialista em joelho.,Condropatia patelar,"Médico do esporte, Ortopedista - traumatologista",Tratamento
44,Qual melhor tratamento para condropatia patelar grau II ?,"Normalmente o tratamento é conservador (analgésicos, anti-inflamatórios, alongamento e fortalecimento muscular) . Na lesão grau II a cirurgia apenas estaria indicada nos casos refratários a estes tratamentos.",Condropatia patelar,"Ortopedista - traumatologista, Médico do esporte",Tratamento
45,"Minha mãe vai fazer a retirada dos fios de kirschner após uma cirurgia na patela, os mesmos estão a machucando, como é feita a cirurgia? Ela é mais suave?","Olá, a recuperação mais tranquila. Normalmente faz uma pequena incisão na região dos fios para conseguir ter acesso e puxa-los. Espero ter ajudado.",Condropatia patelar,Ortopedista - traumatologista,Outros
46,"Tenho condropatia patelar grau I no joelho esquerdo, já fui no ortopedista e o mesmo tinha passado somente 20 sessões de fisioterapia e depois musculação para fortalecimento, nunca parei de sentir dor e agora estão piores. Voltei em outro ortopedista e o mesmo me receitou uma injeção de BettaTrinta e Coques 200 mg associado a musculação novamente. Fiquei sabendo da existência de infiltração com ácido hialurônico e que é mais eficaz e por longo prazo no joelho, qual das duas opções é mais viável para alivio das dores nesse caso?",A injeção de ácido hialurônico tem resultados variáveis.Pode ser que a condropatia seja consequência a algum distúrbio mecânico.A dor pode não cessar por ser devido a outras coisas.,Condropatia patelar,Ortopedista - traumatologista,Tratamento
47,"Quebrei o dedo mínimo mão esquerda falange proximal, qal o valor da operação, já fiz raio x e consulta pública , precisa operar mas pra marcar demora , oque vcs recomendam nesse caso meu.Imail ribaspauloymail.com.","As fraturas das falanges tem muitos padrões e particularidades. Tratamentos cirúrgicos são mandatórios em caso de fraturas expostas, fraturas que atravessam alguma junta, ou que tenham desvios acima do normal. Orçamentos cirúrgicos são realizados apenas durante consultas presenciais e após exame clínico e complementares.",Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Tratamento
48,"Tenho contratura de dupuytren Nas duas mãos desde 2019. Fui ao ortopedista e ele me disse que meu caso ainda não é cirúrgico. E agora no final de 2021, começou a aparecer nódulos nos dedos. Gostaria de saber se é normal.Obrigada","Não, não é normal. Agende sua consulta para melhor tratamento.",Contratura de dupuytren,Ortopedista - traumatologista,Diagnóstico
49,"Bom dia, fiz a cirurgia de dupuytren da não esquerda dia 050823, vou retirar os pontos dia 24, porém estou com uma dor insuportável no pescoço que desce pro braço, não consigo dormir ,não sei se e a cervical ou reação da cirurgia ,tem alguma coisa há ver ????","Ola, tudo bemProvavelmente nao é por conta da cirurgia nao, mas precisa ser examinado no dia da revisao.",Contratura de dupuytren,Ortopedista - traumatologista,Diagnóstico
50,Vou fazer cirurgia de Dupuytren. Quanto tempo de recuperação pós cirúrgico e quais cuidados devo tomar??,"Bom dia , depende do grau de comprometimento do dedo, maior gravidade requer maiores cuidados .",Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Tratamento
51,A realização da cirurgia para doença de dupuytren garante 100 de sucesso na recuparação dos movimentos da mão?,"Nenhum médico pode garantir 100 de sucesso no tratamento de qualquer doença que seja. Todo tratamento, cirúrgico ou não, pode apresentar complicações ou recorrências da doença tratada, mesmo que essa chance seja mínima. A doença de Dupuytren em especial pode apresentar sim recorrência dos sintomas, mesmo depois da cirurgia. Procure um ortopedista especialista de cirurgia de mão para obter todas as informações pertinentes sobre a doença e seus possíveis tratamentos. Boa sorte.",Contratura de dupuytren,Ortopedista - traumatologista,Tratamento
52,Tomar colágeno tipo 2 favorece a doença de Dupuytre?,"Olá! Não há correlação descrita na literatura. Na doença de Dupuytren, normalmente ocorre uma alteração entre a proporção de colágenos tipo 3 em relação ao tipo 1 nos tecidos doentes. O colágeno tipo 2 é comumente usado como medicação, pelo seu efeito antiinflamatório em doenças articulares.Te convidamos para uma consulta: Consulta cirurgia da mão - R 350Você pode reservar uma consulta através do site Doctoralia, clicando no botão agendar consulta.",Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Tratamento
53,Tenho Knuckle pads nos 2 dedos indicadores da mão. Existe curatratamentocirurgia?,"Olá, bom dia.Em nosso meio, costumamos chamar de garrod knuckle pads, ou nódulos de garrod, os nódulos que acometem a articulação dos dedos (interfalangeana proximal), e estão associados a uma doença chamada dupuytren.Atualmente, a doença de dupuytren é considerada uma doença com origem genética, autossomica dominante, ou seja, é provável a presença nos pais, mães, avós, filhos, etc...É uma doença autolimitada, caracterizada por uma proliferação indiscriminada de celulas como fibroblastos e miofibroblastos, mesma celula presente nos tevidos cicatriciais.É caracterizada pela formacao de nodulos (inicialmente) que com o tempo vao se juntando e formando cordas, que seguem a linha dos dedos em direcao a palma da mao (principalmente do 4⁰ dedo)Essa doença não tem cura, porém, o tratamento cirúrgico, quando indicado, é capaz reestabelecer a anatomia e funcionalidade normal da mao.Um dado importante é que quando existem os nódulos de garrod, é possível que a doença seja mais agressiva... evoluindo mais rapidamente para deformidade.É importante definir se o que chamamos de knuckle pads é de fato um nódulo de garrod, ou se trata de outras alterações articulares como sinovite, traumas repetitivos, ou até mesmo atrito recorrente no dorso dos dedos pelo trabalho ou outra atividade causando calos, facilmente confundidos com os nódulos de garrod.O melhor a fazer é procurar a ajuda de um especialista em cirurgia da mão para que seja realizado o diagnóstico e o tratamento correto.Espero ter ajudado",Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Tratamento
54,Tenho Knuckle pads nos 2 dedos indicadores da mão. Existe curatratamentocirurgia?,"A indicação cirúrgica para uma deformidade como a que você descreve depende muito do exame físico para definir a causa da lesão e as possíveis consequências futuras. A cirurgia pode ser estética ou funcional, sempre buscando proteger o que é saudável e melhorar sua situação onde possível.Recomendo buscar um cirurgião da mão para uma avaliação em pessoa.",Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Tratamento
55,Li que medicamentos podem causar a dupuytren. Quais seriam estes medicamentos?,"Bom dia, desconheço, porém uma boa estratégia que evitaria tais reações é melhorar sua alimentação. (Nutrição), procure uma nutricionista clínica. Ela irá melhorar bastante a sua saúde. Att",Contratura de dupuytren,"Osteopata, Fisioterapeuta",Epidemiologia
56,"Tenho contratura de Dupuytren nas mãos à três anos e agora nos pésSinto muita dor nas pernas, será que tem tratamento?","A doença de Dupuytren cursando com contratura em geral requer tratamento cirúrgico. Caso não consiga espalmar a mão sobre uma superfície plana, já pode ser indicada cirurgia. A dor nas pernas provavelmente não tem relação com esta doença, outras causas devem ser investigadas.",Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Tratamento
57,"Em média, qual o valor da cirurgia para Dupuytren?","Olá, o tratamento cirúrgico depende do grau de lesão na mão que pôde ser superficial atingindo um DEDO até profundo atingindo todos os dedos , daí aumenta o grau de dificuldade técnica de cada tipo de lesão, portanto é difícil fazer um cálculo, pois teria que fazer uma consulta primeiro para que assim se possa definir o valor .",Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Outros
58,"Em média, qual o valor da cirurgia para Dupuytren?","O valor da cirurgia depende da gravidade do quadro, cidade onde vive, cirurgião responsável, anestesia, etc. Não é possível dar um valor sem essas informações. Espero ter ajudado!",Contratura de dupuytren,"Ortopedista - traumatologista, Cirurgião da mão",Outros
59,"Tenho a doença de Dupuytren em fase inicial, com formação de nódulos na palma da mão e pequeno cordão se formando do dedo mínimo. Pergunto se há algum tratamento conservador para regressão destas deformações, antes que evolua para uma contratura?",Infelizmente não há nenhum estudo que comprove eficácia em algum tratamento paleativo para a doença de Dupuytren. Normalmente acompanhamos a evolução e quando há indicação operamos. Agende sua consulta para avaliar se já há necessidade de cirurgia.,Contratura de dupuytren,"Cirurgião da mão, Ortopedista - traumatologista",Tratamento
60,"Tenho a doença de Dupuytren em fase inicial, com formação de nódulos na palma da mão e pequeno cordão se formando do dedo mínimo. Pergunto se há algum tratamento conservador para regressão destas deformações, antes que evolua para uma contratura?",O tratamento será cirúrgico em algum momento.,Contratura de dupuytren,"Médico do esporte, Ortopedista - traumatologista",Tratamento
